id,time,value
residuals,2019-06-30,0.005450385923667305
residuals,2019-07-07,-0.0036496412606362707
residuals,2019-07-14,0.0071663197701539
residuals,2019-07-21,0.009760431606412226
residuals,2019-07-28,5.612351303328585e-4
residuals,2019-08-04,0.0016740886373149935
residuals,2019-08-11,-0.0013441500090316365
residuals,2019-08-18,-0.0061337223366190645
residuals,2019-08-25,-0.012809716229755077
residuals,2019-09-01,-0.004255221701790513
residuals,2019-09-08,-0.0023914727456516983
residuals,2019-09-15,-9.457595240287746e-4
residuals,2019-09-22,0.004400076892076637
residuals,2019-09-29,-0.006252732172643601
residuals,2019-10-06,-0.0035820431590995916
residuals,2019-10-13,-0.005977412417675316
residuals,2019-10-20,-0.006386673696430935
residuals,2019-10-27,-0.0023022098287528983
residuals,2019-11-03,-3.9132367586920506e-4
residuals,2019-11-10,-0.002794934751867649
residuals,2019-11-17,-0.005115135831448744
residuals,2019-11-24,-9.478297319929674e-4
residuals,2019-12-01,-5.985735185698889e-4
residuals,2019-12-08,6.53611335086102e-5
residuals,2019-12-15,-0.004219662505524585
residuals,2019-12-22,-0.0036259879141230154
residuals,2019-12-29,-0.004611281766426714
residuals,2020-01-05,-0.0019183364099978613
residuals,2020-01-12,0.00218130982563008
residuals,2020-01-19,0.015009360837601347
residuals,2020-01-26,0.007455166719072211
residuals,2020-02-02,-9.885329994521077e-4
residuals,2020-02-09,9.85543989875418e-4
residuals,2020-02-16,8.378461839960674e-4
residuals,2020-02-23,-0.011542014784768798
residuals,2020-03-01,2.5686045579243757e-4
residuals,2020-03-08,-0.002727903632359894
residuals,2020-03-15,-0.0072861282297559775
residuals,2020-03-22,3.9332954307252823e-4
residuals,2020-03-29,0.009509436675134594
residuals,2020-04-05,0.014004435258824372
residuals,2020-04-12,0.0037832913867757102
residuals,2020-04-19,0.001764844610991936
residuals,2020-04-26,0.01239153060995202
residuals,2020-05-03,0.007136378369206248
residuals,2020-05-10,-0.010502448141819934
residuals,2020-05-17,-0.013512161803156883
residuals,2020-05-24,-0.012408178803941045
residuals,2020-05-31,-0.010231143186067704
residuals,2020-06-07,-0.013246619179981425
residuals,2020-06-14,-0.004667582312936096
residuals,2020-06-21,-0.008976666970215574
residuals,2020-06-28,0.001069454858859596
residuals,2020-07-05,-0.00462418941881403
residuals,2020-07-12,-0.005608107559200424
residuals,2020-07-19,-0.0012258840500737641
residuals,2020-07-26,0.004591132547338435
residuals,2020-08-02,0.0038363554010342215
residuals,2020-08-09,0.004081943484087137
residuals,2020-08-16,-5.567407623651693e-4
residuals,2020-08-23,-0.006026051598028636
residuals,2020-08-30,0.003058981109621763
residuals,2020-09-06,0.002463447961241418
residuals,2020-09-13,0.009429090567270404
residuals,2020-09-20,-0.004502591062872985
residuals,2020-09-27,8.165823477267775e-4
residuals,2020-10-04,0.006899956385569667
