time,canton,category,value
2021-05-16,ag,car_purchase,0.08364044340454911
2021-05-23,ag,car_purchase,0.10028815542173296
2021-05-30,ag,car_purchase,0.07768526331939704
2021-06-06,ag,car_purchase,0.09138583099996164
2021-06-13,ag,car_purchase,0.10453837597330368
2021-06-20,ag,car_purchase,0.0952585247976679
2021-06-27,ag,car_purchase,0.0971218020022247
2021-07-04,ag,car_purchase,0.09577001265774232
2021-07-11,ag,car_purchase,0.1455182961911703
2021-07-18,ag,car_purchase,0.09911904031299143
2021-07-25,ag,car_purchase,0.11088326109470292
2021-08-01,ag,car_purchase,0.09720704997890378
2021-08-08,ag,car_purchase,0.13263367343024818
2021-08-15,ag,car_purchase,0.08572292969199494
2021-08-22,ag,car_purchase,0.10088489125848644
2021-08-29,ag,car_purchase,0.09433297533658087
2021-09-05,ag,car_purchase,0.06673698745732806
2021-09-12,ag,car_purchase,0.07080453377315792
2021-09-19,ag,car_purchase,0.11107811361282652
2021-09-26,ag,car_purchase,0.10019072916267116
2021-10-03,ag,car_purchase,0.07691803152928542
2021-10-10,ag,car_purchase,0.07210760998810939
2021-10-17,ag,car_purchase,0.0820085535652641
2021-10-24,ag,car_purchase,0.08865789574623144
2021-10-31,ag,car_purchase,0.07107245598557785
2021-11-07,ag,car_purchase,0.0724120670476775
2021-11-14,ag,car_purchase,0.08495569790188333
2021-11-21,ag,car_purchase,0.06768689348318056
2021-11-28,ag,car_purchase,0.06724847531740248
2021-12-05,ag,car_purchase,0.0684663035556749
2021-12-12,ag,car_purchase,0.07476247554754324
2021-12-19,ag,car_purchase,0.0649346016646849
2021-12-26,ag,car_purchase,0.08730610640174907
2022-01-02,ag,car_purchase,0.06834452073184764
2022-01-09,ag,car_purchase,0.07545663764335853
2022-01-16,ag,car_purchase,0.10207836293199339
2022-01-23,ag,car_purchase,0.08862136089908326
2022-01-30,ag,car_purchase,0.07073146407886156
2022-02-06,ag,car_purchase,0.07579762955007478
2022-02-13,ag,car_purchase,0.11007949445744314
2022-02-20,ag,car_purchase,0.1164243795788424
2022-02-27,ag,car_purchase,0.09988627210310307
2022-03-06,ag,car_purchase,0.09469832380806262
2022-03-13,ag,car_purchase,0.10228539373249972
2022-03-20,ag,car_purchase,0.10433134517279737
2022-03-27,ag,car_purchase,0.10083617812895554
2022-04-03,ag,car_purchase,0.10090924782325189
2022-04-10,ag,car_purchase,0.11256386406351884
2022-04-17,ag,car_purchase,0.11098068735376473
2022-04-24,ag,car_purchase,0.12267183844117986
2022-05-01,ag,car_purchase,0.09296900770971579
2022-05-08,ag,car_purchase,0.11984647692838786
2022-05-15,ag,car_purchase,0.09972795443212763
2022-05-22,ag,car_purchase,0.12681245445130604
2022-05-29,ag,car_purchase,0.09695130604886655
2022-06-05,ag,car_purchase,0.11050573434083846
2022-06-12,ag,car_purchase,0.10280905987495685
2022-06-19,ag,car_purchase,0.11040830808177668
2022-06-26,ag,car_purchase,0.10664521882551493
2022-07-03,ag,car_purchase,0.09698784089601473
2022-07-10,ag,car_purchase,0.09639110505926125
2022-07-17,ag,car_purchase,0.11028652525794945
2022-07-24,ag,car_purchase,0.11917667139733804
2022-07-31,ag,car_purchase,0.09787685550995359
2022-08-07,ag,car_purchase,0.09958181504353496
2022-08-14,ag,car_purchase,0.11151653177860459
2022-08-21,ag,car_purchase,0.11389129684323579
2022-08-28,ag,car_purchase,0.10800918645238003
2022-09-04,ag,car_purchase,0.0825687545548694
2022-09-11,ag,car_purchase,0.07887873499290399
2022-09-18,ag,car_purchase,0.09144672241187526
2022-09-25,ag,car_purchase,0.08316549039162287
2022-10-02,ag,car_purchase,0.09237227187296229
2022-10-09,ag,car_purchase,0.10447748456139004
2022-10-16,ag,car_purchase,0.10330836945264853
2022-10-23,ag,car_purchase,0.10638947489547773
2022-10-30,ag,car_purchase,0.08522362011430325
2022-11-06,ag,car_purchase,0.08172845307046143
2022-11-13,ag,car_purchase,0.09158068351808522
2022-11-20,ag,car_purchase,0.0717057266694795
2022-11-27,ag,car_purchase,0.07818457289708873
2022-12-04,ag,car_purchase,0.09518545510337155
2022-12-11,ag,car_purchase,0.08552807717387136
2022-12-18,ag,car_purchase,0.05731099689309961
2022-12-25,ag,car_purchase,0.10011765946837482
2023-01-01,ag,car_purchase,0.08983918913735567
2023-01-08,ag,car_purchase,0.074993862912815
2023-01-15,ag,car_purchase,0.08193548387096775
2023-01-22,ag,car_purchase,0.1109806873537647
2023-01-29,ag,car_purchase,0.0999593417973994
2023-02-05,ag,car_purchase,0.11632695331978062
2023-02-12,ag,car_purchase,0.08678244025929192
2023-02-19,ag,car_purchase,0.09441822331325994
2023-02-26,ag,car_purchase,0.08139963944612788
2023-03-05,ag,car_purchase,0.09287158145065397
2023-03-12,ag,car_purchase,0.09221395420198687
2023-03-19,ag,car_purchase,0.0768084269878409
2023-03-26,ag,car_purchase,0.10765601626328106
2023-04-02,ag,car_purchase,0.12135658394384564
2023-04-09,ag,car_purchase,0.1240114495032795
2023-04-16,ag,car_purchase,0.09492971117333436
2023-04-23,ag,car_purchase,0.13131841893291396
2023-04-30,ag,car_purchase,0.09436951018372905
2023-05-07,ag,car_purchase,0.09093523455180084
2023-05-14,ag,car_purchase,0.11532833416439724
2023-05-21,ag,car_purchase,0.13196386789919834
2023-05-28,ag,car_purchase,0.12973524222315982
2018-06-10,ag,commute,0.14446690447879507
2018-06-17,ag,commute,0.11816587395957195
2018-06-24,ag,commute,0.18672892720306516
2018-07-01,ag,commute,0.15489083762716344
2018-07-08,ag,commute,0.20906592680671157
2018-07-15,ag,commute,0.17456417624521073
2018-07-22,ag,commute,0.1668248777909896
2018-07-29,ag,commute,0.24123959571938167
2018-08-05,ag,commute,0.198432256572863
2018-08-12,ag,commute,0.16623761395164488
2018-08-19,ag,commute,0.10874867882150878
2018-08-26,ag,commute,0.10086256440745144
2018-09-02,ag,commute,0.16112002906592682
2018-09-09,ag,commute,0.11369847403884265
2018-09-16,ag,commute,0.11558610780816488
2018-09-23,ag,commute,0.23719166996961288
2018-09-30,ag,commute,0.23123513674197385
2018-10-07,ag,commute,0.11952916501519355
2018-10-14,ag,commute,0.17481586074778707
2018-10-21,ag,commute,0.18035291980446558
2018-10-28,ag,commute,0.10558164883075703
2018-11-04,ag,commute,0.16311253137798915
2018-11-11,ag,commute,0.1069029924692826
2018-11-18,ag,commute,0.14436203593605496
2018-11-25,ag,commute,0.11451644867221561
2018-12-02,ag,commute,0.16984509182190513
2018-12-09,ag,commute,0.10497341128286433
2018-12-16,ag,commute,0.16594398203197255
2018-12-23,ag,commute,0.13924445105033692
2018-12-30,ag,commute,0.18649821640903688
2019-01-06,ag,commute,0.2757832936979786
2019-01-13,ag,commute,0.16787356321839084
2019-01-20,ag,commute,0.15254178226978465
2019-01-27,ag,commute,0.14176129607609989
2019-02-03,ag,commute,0.20573110714757564
2019-02-10,ag,commute,0.23261940150614346
2019-02-17,ag,commute,0.13014186154049412
2019-02-24,ag,commute,0.20701050336900514
2019-03-03,ag,commute,0.09553524243625315
2019-03-10,ag,commute,0.22213254723213105
2019-03-17,ag,commute,0.238114513145726
2019-03-24,ag,commute,0.10698688730347469
2019-03-31,ag,commute,0.12340930109657815
2019-04-07,ag,commute,0.10843407319328842
2019-04-14,ag,commute,0.19285325009908838
2019-04-21,ag,commute,0.14708861804729817
2019-04-28,ag,commute,0.18473642489100278
2019-05-05,ag,commute,0.16625858766019289
2019-05-12,ag,commute,0.12544375082573656
2019-05-19,ag,commute,0.1428729026291452
2019-05-26,ag,commute,0.13601449993394107
2019-06-02,ag,commute,0.16745408904743034
2019-06-09,ag,commute,0.19039932619896946
2019-06-16,ag,commute,0.27548966177830625
2019-06-23,ag,commute,0.28467614612234116
2019-06-30,ag,commute,0.2122749042145594
2019-07-07,ag,commute,0.18083531510107015
2019-07-14,ag,commute,0.1819678953626635
2019-07-21,ag,commute,0.2409459637997093
2019-07-28,ag,commute,0.232178953626635
2019-08-04,ag,commute,0.3169966309948475
2019-08-11,ag,commute,0.2455182322631788
2019-08-18,ag,commute,0.24929349980182325
2019-08-25,ag,commute,0.26892489100277445
