time,canton,gt_1_car_t,gt_2_com_t,gt_3_cov_t,gt_4_eco_t,gt_5_ene_t,gt_6_gro_t,gt_7_hea_t,gt_8_rea_t,gt_9_res_t,gt_10_war_t,gt_1_car_m1,gt_2_com_m1,gt_3_cov_m1,gt_4_eco_m1,gt_5_ene_m1,gt_6_gro_m1,gt_7_hea_m1,gt_8_rea_m1,gt_9_res_m1,gt_10_war_m1,gt_1_car_m2,gt_2_com_m2,gt_3_cov_m2,gt_4_eco_m2,gt_5_ene_m2,gt_6_gro_m2,gt_7_hea_m2,gt_8_rea_m2,gt_9_res_m2,gt_10_war_m2
2020-02-16,ne,0.05224962602124967,0.12194972915840929,0.005874950455806579,0.05827818218729157,0,0,0,0.003932818073721759,0.038967499009116134,0.036858294990435816,0.18018603045529513,0.44192008521601267,0.06736771700356718,0.05441641773730461,0,0,0,0.015925485533095522,0.07157104637336505,0.09198741146668046,0.10861766905757357,0.6140051525961157,0.025454072532699167,0.0798092065195325,0,0,0,0,0.12256242568370987,0.054220325182236476
2020-02-23,ne,0.03673449426565916,0.12348725062755979,0.3409413396749901,0.04764145471419042,0,0,0,0,0.014288545382481175,0.018137827637905186,0.16059007134363854,0.42264846743295015,0.03540750099088387,0.09629542356660192,0,0,0,0.018984344034879114,0.09695402298850575,0.10673072946285479,0.1291792125350006,0.6284012088783194,0.05302021403091558,0.10461402656535483,0,0,0,0.0034958382877526752,0.13598741577487117,0.022719782350204214
2020-03-01,ne,0.030231483257259027,0.041820583960893117,0.4148880301228696,0.03330283344450567,0,0,0,0,0.020309155766944115,0.017707180892312466,0.15333761650876454,0.4157458052582904,0.3621227209671027,0.12711315652098257,0,0,0,0.011337197780420135,0.09049990091161317,0.07111371038618622,0.17217003567181927,0.5397914189456995,0.09113456202933015,0.0961817377686262,0,0,0,0.0034958382877526752,0.07992915180340864,0.037466266866566726
2020-03-08,ne,0.029019216754248015,0.014824943849914125,1.4950535077288942,0.014374148081552159,0,0,0,0.016168252080856125,0.019754260800634166,0.017124541177687018,0.13334696597752294,0.3214836008719778,0.7651394669044789,0.14336312026913375,0,0,0,0.0051466508125247714,0.08134066587395958,0.0728362973685571,0.16410235510720725,0.4979465583300303,0.08538099484740388,0.07254930251442823,0,0,0,0.01369203329369798,0.06628567181926279,0.09582206741456858
2020-03-15,ne,0.02306125580146523,0.06290890474303079,2.12027447483155,0.012121748209158668,0,0,0,0,0.014954419342053112,0.071259370314842585,0.10904760078247862,0.21062021072796935,2.252351615140706,0.10988798178707114,0,0,0,0.017151456599286564,0.06409383670233848,0.06218412345551362,0.18018603045529513,0.44192008521601267,0.06736771700356718,0.05441641773730461,0,0,0,0.015925485533095522,0.07157104637336505,0.09198741146668046
2020-03-22,ne,0.01200049863833378,0.02147674725855463,0.7628695996829171,0.01649865143122299,0,0,0,0,0.012027348394768133,8.99291733443623e-4,0.09149557937938706,0.15042624521072798,4.115451347602062,0.07170909341376411,0,0,0,0.016168252080856125,0.058589972255251685,0.11062554929431836,0.16059007134363854,0.42264846743295015,0.03540750099088387,0.09629542356660192,0,0,0,0.018984344034879114,0.09695402298850575,0.10673072946285479
2020-03-29,ne,0.00904971040619846,0.028274210595851505,0.5441854934601664,0.018537890432412052,0,0,0,0,0.007061038446294094,0.01355270640541798,0.07163884200836179,0.10966574184172283,4.481919589774079,0.051320256083060234,0,0,0,0.016168252080856125,0.05181331747919144,0.09370999844905134,0.15333761650876454,0.4157458052582904,0.3621227209671027,0.12711315652098257,0,0,0,0.011337197780420135,0.09049990091161317,0.07111371038618622
2020-04-05,ne,0.022619577308120135,0.03858369665741842,0.3583234244946492,0.023838490763028918,0,0,0,0.004151307966706302,0.005992865636147445,0.02929664478105775,0.05136626903455947,0.11636609855991546,3.801092944906857,0.050751827093181746,0,0,0,0.004042063020214031,0.03898137138327388,0.08999250374812595,0.13334696597752294,0.3214836008719778,0.7651394669044789,0.14336312026913375,0,0,0,0.0051466508125247714,0.08134066587395958,0.0728362973685571
2020-04-12,ne,0.021971155690230525,0.013077024706037787,0.304235037653587,0.008789333255996058,0,0,0,0.11410027744748315,0.007768529528339278,0.021975650105981494,0.04943510030301868,0.10406188069758225,2.1954471363456203,0.061905469678953634,0,0,0,0.004151307966706302,0.02881985731272295,0.06156348549863,0.10904760078247862,0.21062021072796935,2.252351615140706,0.10988798178707114,0,0,0,0.017151456599286564,0.06409383670233848,0.06218412345551362
2020-04-19,ne,0.026951785508802884,0.04651407055093143,0.207128418549346,0.019823961022012126,0,0,0,0,0.016438763376932227,0.01951843043995244,0.05664056806413256,0.08530411877394636,1.3974613555291318,0.05529037730924277,0,0,0,0.11825158541418945,0.023829270709472848,0.06504982422581812,0.09149557937938706,0.15042624521072798,4.115451347602062,0.07170909341376411,0,0,0,0.016168252080856125,0.058589972255251685,0.11062554929431836
2020-04-26,ne,0.023361973073529975,0.09369170299907517,0.19673801030519222,0.04424509149966648,0,0,0,0,0.007074910820451844,0.05497079046683555,0.07380494610870315,0.10524334456335051,1.0057332540626238,0.05708625764914012,0,0,0,0.11825158541418945,0.031965418152992475,0.07417890192834618,0.07163884200836179,0.10966574184172283,4.481919589774079,0.051320256083060234,0,0,0,0.016168252080856125,0.05181331747919144,0.09370999844905134
2020-05-03,ne,0.028850063288711595,0.02294953098163562,0.1712960760998811,0.0067145674429395915,0,0,0,0,0.017881490289338088,0.024977511244377814,0.07793980859959343,0.162928722420399,0.7976823226317875,0.07881800846843189,0,0,0,0.11513810443915973,0.032780420134760214,0.10378903220803393,0.05136626903455947,0.11636609855991546,3.801092944906857,0.050751827093181746,0,0,0,0.004042063020214031,0.03898137138327388,0.08999250374812595
2020-05-10,ne,0.017093897433930423,0.06862201083366364,0.13750297265160522,0.02072634204344422,0,0,0,0,0.03035275465715418,0.0112221475469162,0.08465661079360208,0.16642456070815168,0.6512212643678161,0.07298095327861721,0,0,0,0.028525069361870787,0.04333729686880698,0.10496064467766118,0.04943510030301868,0.10406188069758225,2.1954471363456203,0.061905469678953634,0,0,0,0.004151307966706302,0.02881985731272295,0.06156348549863
2020-05-17,ne,0.06239883395343485,0.13559320914255515,0.08875544986127626,0.02902540529567008,0,0,0,0,0.0071997621878715804,0.015047303934239779,0.07604388017337273,0.19689176245210727,0.557319163694015,0.07664199124155333,0,0,0,0,0.05941884661117717,0.09605005686811767,0.05664056806413256,0.08530411877394636,1.3974613555291318,0.05529037730924277,0,0,0,0.11825158541418945,0.023829270709472848,0.06504982422581812
2020-05-24,ne,0.08014115300525489,0.06114480116263707,0.10817677368212446,0.03743104898349816,0,0,0,0,0.015107015457788347,0.02269761670888694,0.11418328794445937,0.2505876767076232,0.4467390011890606,0.0675275876569705,0,0,0,0,0.057202734839476806,0.06498966034224268,0.07380494610870315,0.10524334456335051,1.0057332540626238,0.05708625764914012,0,0,0,0.11825158541418945,0.031965418152992475,0.07417890192834618
2020-05-31,ne,0.07503835679490622,0.09586041749240323,0.17537455410225922,0.03686972535599316,0,0,0,0.011652794292508917,0.01366428854538248,0.022444295093832393,0.16684640021479807,0.2710974038842648,0.37725921521997624,0.08886143818334735,0,0,0,0,0.05712990487514863,0.05521144600113737,0.07793980859959343,0.162928722420399,0.7976823226317875,0.07881800846843189,0,0,0,0.11513810443915973,0.032780420134760214,0.10378903220803393
2020-06-07,ne,0.08279122396532546,0.1177255912273748,0.06311930241775664,0.01891447463820655,0,0,0,0,0.018020214030915575,0.005332419996898103,0.22185181811207855,0.3097539305060114,0.40668252080856127,0.10850776514602244,0,0,0,0.011652794292508917,0.04355925485533095,0.06299475262368816,0.08465661079360208,0.16642456070815168,0.6512212643678161,0.07298095327861721,0,0,0,0.028525069361870787,0.04333729686880698,0.10496064467766118
2020-06-14,ne,0.08001898661347859,0.17945303210463734,0.06957689258818867,0.013521504596734435,0,0,0,0,0.013581054300435989,0.006535697668407176,0.2535704422538453,0.3086291121680539,0.36885949266745943,0.1004716003016154,0,0,0,0.011652794292508917,0.0485914585810543,0.054236157783177384,0.07604388017337273,0.19689176245210727,0.557319163694015,0.07664199124155333,0,0,0,0,0.05941884661117717,0.09605005686811767
2020-06-21,ne,0.06598864638870776,0.08660291980446558,0.10293301625049545,0.02045633827325194,0,0,0,0,0.0328636543797067,0.002723207361836323,0.25788385562502397,0.4083252411150747,0.33511494252873564,0.07866346683680868,0,0,0,0.011652794292508917,0.04904231074118113,0.0399868169363594,0.11418328794445937,0.2505876767076232,0.4467390011890606,0.0675275876569705,0,0,0,0,0.057202734839476806,0.06498966034224268
2020-06-28,ne,0.07195600475624256,0.13335975690315763,0.20368113357114548,0.008277747165105421,0,0,0,0,0.023069758224336108,0.018391149252959725,0.24755844616623834,0.4077466475095785,0.2794728497820056,0.06210974884719121,0,0,0,0.0029131985731272294,0.0678809948474039,0.0202023988005997,0.16684640021479807,0.2710974038842648,0.37725921521997624,0.08886143818334735,0,0,0,0,0.05712990487514863,0.05521144600113737
2020-07-05,ne,0.03649016148210655,0.20180373893513018,0.12497621878715814,0.025856413677097533,0,0,0,0.013206500198176775,0.01724336107808165,0.008359613296799876,0.23866144374976025,0.4288471066191042,0.3919708680142687,0.04698420869464343,0,0,0,0,0.07401952041220769,0.02898315928242775,0.22185181811207855,0.3097539305060114,0.40668252080856127,0.10850776514602244,0,0,0,0.011652794292508917,0.04355925485533095,0.06299475262368816
2020-07-12,ne,0.030203291013002957,0.1933230942000264,0.184162703131193,0.035121806212116816,0,0,0,0,0.09530321046373365,0.01707387685467611,0.1944395592804265,0.4666296736689127,0.44898459175584626,0.057970875264638504,0,0,0,0.013206500198176775,0.07657203725723347,0.03110789432869772,0.2535704422538453,0.3086291121680539,0.36885949266745943,0.1004716003016154,0,0,0,0.011652794292508917,0.0485914585810543,0.054236157783177384
2020-07-19,ne,0.07029266234513443,0.12002378121284187,0.09210562822037258,0.05986267799657782,0,0,0,0,0.017395957193816883,0.011766789019283462,0.155146618848529,0.5501373199894306,0.5385533095521204,0.07437005162263276,0,0,0,0.013206500198176775,0.14383224336107808,0.04450544124489479,0.25788385562502397,0.4083252411150747,0.33511494252873564,0.07866346683680868,0,0,0,0.011652794292508917,0.04904231074118113,0.0399868169363594
2020-07-26,ne,0.0751887154309386,0.05064110186286167,0.12196591359492667,0.024442446564774803,0,0,0,0,0.008420531113753469,0.009423564080028951,0.15497511602930455,0.5484905535737878,0.4521648335315101,0.12291033467706852,0,0,0,0.013206500198176775,0.1357099682917162,0.041798066483999384,0.24755844616623834,0.4077466475095785,0.2794728497820056,0.06210974884719121,0,0,0,0.0029131985731272294,0.0678809948474039,0.0202023988005997
2020-08-02,ne,0.056826167005485026,0.19002146915048224,0.1464367816091954,0.0320167628549056,0,0,0,0.08559948474038842,0.01390011890606421,0.008220286408519878,0.1848072091596026,0.4144389120095125,0.4294782996432818,0.12589103419274383,0,0,0,0.0033016250495441937,0.1254305390408244,0.04035413327818849,0.23866144374976025,0.4288471066191042,0.3919708680142687,0.04698420869464343,0,0,0,0,0.07401952041220769,0.02898315928242775
2020-08-09,ne,0.033172874074642325,0.12198209803144405,0.12050931430836306,0.03925712711348279,0,0,0,0.02087792310741181,0.004078478002378121,0.014236674766065244,0.2098583675348088,0.40901712577619237,0.4065489992072929,0.12510233896928744,0,0,0,0.08559948474038842,0.06354240982956798,0.033679108721501316,0.1944395592804265,0.4666296736689127,0.44898459175584626,0.057970875264638504,0,0,0,0.013206500198176775,0.07657203725723347,0.03110789432869772
2020-08-16,ne,0.05754976794139082,0.11269223147047165,0.19829171621086011,0.02997041849134306,0,0,0,0,0.0039952437574316295,0.015452618518327042,0.18276092209734954,0.39265061434799847,0.4119384165675783,0.11068200603230766,0,0,0,0.10647740784780023,0.030748117320650022,0.03482222250943494,0.155146618848529,0.5501373199894306,0.5385533095521204,0.07437005162263276,0,0,0,0.013206500198176775,0.14383224336107808,0.04450544124489479
2020-08-23,ne,0.045878178819377856,0.08729885057471264,0.31889813713832743,0.02481192540819582,0,0,0,0,0.02241775663892192,0.008663599234865326,0.16634598787925284,0.43735607411811334,0.4957292905271502,0.10735492010092515,0,0,0,0.10647740784780023,0.02407897344431233,0.0402654707129194,0.15497511602930455,0.5484905535737878,0.4521648335315101,0.12291033467706852,0,0,0,0.013206500198176775,0.1357099682917162,0.041798066483999384
